Brazil,2136
Belgium,2107
France,2083
Spain,2036
Portugal,2034
Italy,2008
Argentina,1991
England,1978
Denmark,1972
Netherlands,1955
Uruguay,1954
Germany,1934
Mexico,1924
Colombia,1896
Switzerland,1886
Wales,1845
Sweden,1840
Croatia,1835
Ecuador,1828
Chile,1816
Ukraine,1810
Turkey,1809
Poland,1808
Venezuela,1802
Serbia,1798
Peru,1793
Czechia,1769
Paraguay,1769
United States,1767
Iran,1766
South Korea,1758
Japan,1758
Austria,1755
Norway,1749
Hungary,1746
Algeria,1743
Russia,1737
Senegal,1726
Australia,1712
Finland,1709
Nigeria,1689
Morocco,1673
Scotland,1666
Slovakia,1655
Romania,1646
Tunisia,1646
Qatar,1646
Greece,1639
Ivory Coast,1638
Bosnia and Herzegovina,1635
Iraq,1628
Costa Rica,1623
Slovenia,1614
Ireland,1614
Canada,1613
Ghana,1608
Honduras,1604
Iceland,1604
Egypt,1602
North Macedonia,1600
Israel,1592
Armenia,1579
Bolivia,1578
Saudi Arabia,1575
Jamaica,1574
Northern Ireland,1565
Bahrain,1563
Haiti,1561
Burkina Faso,1556
Mali,1555
Albania,1552
Cameroon,1551
Uzbekistan,1551
Panama,1544
Montenegro,1530
Georgia,1513
Belarus,1507
Bulgaria,1499
Oman,1499
Guatemala,1495
Zambia,1491
New Zealand,1486
Kosovo,1483
South Africa,1481
DR Congo,1481
Syria,1474
Jordan,1473
El Salvador,1467
Benin,1466
China,1460
Uganda,1460
Northern Cyprus,1456
United Arab Emirates,1451
Cape Verde,1447
Martinique,1446
Guinea,1438
Curaçao,1435
Gabon,1434
Kurdistan,1424
Vietnam,1408
Kuwait,1405
Zimbabwe,1404
Palestine,1396
Luxembourg,1393
Kenya,1391
Lebanon,1386
Sudan,1386
Mauritania,1378
North Korea,1375
Madagascar,1372
Azerbaijan,1371
Angola,1370
Réunion,1370
Cyprus,1368
Gambia,1362
Estonia,1361
Congo,1360
Lithuania,1359
Libya,1358
Guinea-Bissau,1355
Equatorial Guinea,1355
Trinidad and Tobago,1353
Sierra Leone,1352
Kazakhstan,1352
Thailand,1352
Malawi,1351
Namibia,1342
Liberia,1329
Ethiopia,1329
Zanzibar,1328
Suriname,1325
Central African Republic,1310
Rwanda,1302
Tanzania,1298
Botswana,1291
Lesotho,1290
Bermuda,1286
Togo,1277
Kyrgyzstan,1271
New Caledonia,1270
Latvia,1268
Turkmenistan,1265
French Guiana,1264
Faroe Islands,1260
Mozambique,1259
Niger,1256
Cuba,1253
Burundi,1251
Tajikistan,1248
Comoros,1233
Fiji,1230
Malta,1227
Saint Kitts and Nevis,1225
Mayotte,1225
Nicaragua,1216
Moldova,1209
Guadeloupe,1209
Guyana,1208
Grenada,1207
Yemen,1207
Tahiti,1196
Malaysia,1192
India,1192
Dominican Republic,1184
Chad,1183
Vanuatu,1174
St Vincent & Grenadines,1172
Hong Kong,1170
Solomon Islands,1162
Singapore,1159
Antigua and Barbuda,1154
Philippines,1152
Papua New Guinea,1151
Afghanistan,1146
Belize,1146
Eritrea,1143
Eswatini,1120
Indonesia,1108
Barbados,1105
Liechtenstein,1100
Gibraltar,1089
South Sudan,1082
São Tomé and Príncipe,1067
Myanmar,1047
Saint Lucia,1036
Andorra,1029
Dominica,1014
Mauritius,1009
Somaliland,1002
Puerto Rico,996
Western Sahara,996
Greenland,963
Bonaire,960
Maldives,947
Taiwan,940
Somalia,921
Cayman Islands,908
Seychelles,908
Nepal,906
Monaco,903
Djibouti,900
Montserrat,887
Aruba,881
Bahamas,878
Pakistan,873
Saint Martin,855
Bangladesh,839
Cambodia,837
San Marino,827
Turks and Caicos Islands,779
Chagos Islands,776
Sint Maarten,767
Tuvalu,739
Guam,734
Mongolia,728
Saint Barthélemy,715
Wallis and Futuna,701
Macao,696
Vatican,692
Laos,690
Cook Islands,687
Samoa,680
US Virgin Islands,678
Saint Pierre and Miquelon,677
Sri Lanka,658
East Timor,638
Tibet,630
Brunei,619
British Virgin Islands,607
Falkland Islands,580
Anguilla,566
FS Micronesia,565
Bhutan,563
Kiribati,545
Tonga,529
Niue,496
Eastern Samoa,473
Northern Mariana Islands,409
Palau,403
